clave,nombre,latitud,longitud,altitud,estado,municipio,region_hidrologica,cuenca,fn_region_hidrologica,estado_etq
CNDCA,"Candelaria, Camp.",18.183056,-91.046111,50,Campeche,Candelaria,30,Grijalva - Usumacinta,30.0,Campeche
CANCA,"Canasayab, Camp.",19.295,-90.575556,17,Campeche,ChampotÃ³n,31,Grijalva - Usumacinta,31.0,Campeche
CDLCL,"Candela, Coah.",26.844444,-100.661111,620,Coahuila de Zaragoza,Candela,24,RÃ­o Medio Bravo,24.0,Coahuila
SBNCL,"Sabinas, Coah.",27.846667,-101.122778,339,Coahuila de Zaragoza,Sabinas,24,Bravo Conchos,24.0,Coahuila
CL3CM,"Callejones C.P. M.I., Col.",18.825833,-103.623333,24,Colima,TecomÃ¡n,16,Rio CoahuayanÃ¡,16.0,Colima
CLLCM,"Callejones, Col.",18.826389,-103.626111,42,Colima,TecomÃ¡n,16,Rio CoahuayanÃ¡,16.0,Colima
DJLCM,"Presa derivadora Jala, Col.",19.111389,-103.884444,200,Colima,TecomÃ¡n,16,RÃ­o ArmerÃ­a,16.0,Colima
MADCM,"Cuastecomatan, Col.",19.210278,-103.885833,200,Colima,TecomÃ¡n,16,RÃ­o ArmerÃ­a,16.0,Colima
PN2CM,"Canal principal de PeÃ±itas, Col.",18.826111,-103.622778,270,Colima,Comala,16,RÃ­o ArmerÃ­a,16.0,Colima
PNTCM,"PeÃ±itas, Col.",19.3275,-103.8125,457,Colima,Comala,16,RÃ­o ArmerÃ­a,16.0,Colima
TECCM,"Jala Tecuanillo, Col.",19.111389,-103.884167,191,Colima,TecomÃ¡n,16,RÃ­o ArmerÃ­a,16.0,Colima
ACACP,"Acala, Chis.",16.552778,-92.804167,393,Chiapas,Acala,30,Alto Grijalva,30.0,Chiapas
AQECP,"Aquespala, Chis.",15.783333,-91.911111,675,Chiapas,La Trinitaria,30,Alto Grijalva,30.0,Chiapas
BOQCP,"BoquerÃ³n, Chis.",16.641944,-93.15,480,Chiapas,Suchiapa,30,Alto Grijalva,30.0,Chiapas
CACCP,"Cacaluta, Chis.",15.35,-92.716667,20,Chiapas,Acacoyagua,23,Costa de Chiapas,23.0,Chiapas
CASCP,"Cascajal, Chis.",16.308333,-92.479167,650,Chiapas,Venustiano Carranza,30,Alto Grijalva,30.0,Chiapas
CHMCP,"Chicomuselo, Chis.",15.75,-92.283333,710,Chiapas,Chicomuselo,30,Alto Grijalva,30.0,Chiapas
DESCP,"Despoblado, Chis.",15.204167,-92.575,115,Chiapas,Villa ComaltitlÃ¡n,23,Costa de Chiapas,23.0,Chiapas
ELNCP,"El Novillero, Chis.",15.495833,-92.95,98,Chiapas,Mapastepec,23,Costa de Chiapas,23.0,Chiapas
ESCCP,"Escuintla, Chis.",15.316667,-92.666667,110,Chiapas,Escuintla,23,Costa de Chiapas,23.0,Chiapas
GRICP,"Grijalva, Chis.",16.975,-93.125,211,Chiapas,ChicoasÃ©n,30,Alto Grijalva,30.0,Chiapas
HUICP,"Huixtla, Chis.",15.133333,-92.472222,40,Chiapas,Huixtla,23,Costa de Chiapas,23.0,Chiapas
JESCP,"JesÃºs, Chis.",15.875,-93.475,90,Chiapas,TonalÃ¡,23,Costa de Chiapas,23.0,Chiapas
LACCP,"LacantÃºn, Chis.",16.580833,-90.702222,905,Chiapas,Ocosingo,30,Usumacinta,30.0,Chiapas
LESCP,"La Escalera, Chis.",16.490278,-93.025,485,Chiapas,Chiapa de Corzo,30,Alto Grijalva,30.0,Chiapas
MAPCP,"Mapastepec, Chis.",15.45,-92.883333,32,Chiapas,Mapastepec,23,Costa de Chiapas,23.0,Chiapas
MARCP,"Margaritas, Chis.",15.583333,-93.066667,1512,Chiapas,Pijijiapan,23,Costa de Chiapas,23.0,Chiapas
PCOCP,"Puente Concordia, Chis.",15.848611,-91.968056,582,Chiapas,Frontera Comalapa,30,Alto Grijalva,30.0,Chiapas
PICCP,"Pichucalco, Chis.",17.511944,-93.113889,114,Chiapas,Pichucalco,30,Bajo Grijalva,30.0,Chiapas
PIJCP,"Pijijiapan, Chis.",15.691667,-93.216667,38,Chiapas,Pijijiapan,23,Costa de Chiapas,23.0,Chiapas
PLACP,"Platanar, Chis.",17.577778,-93.3875,38,Chiapas,Pichucalco,30,Bajo Grijalva,30.0,Chiapas
REFCP,"Reforma, Chis.",15.916667,-92.666667,588,Chiapas,La Concordia,30,Alto Grijalva,30.0,Chiapas
REVCP,"RevoluciÃ³n Mexicana, Chis.",16.158333,-93.079167,588,Chiapas,Villa Corzo,30,Alto Grijalva,30.0,Chiapas
RCACP,"RÃ³mulo Calzada, Chis.",17.348333,-93.552778,116,Chiapas,TecpatÃ¡n,30,Bajo Grijalva,30.0,Chiapas
SAACP,"Salto de Agua, Chis.",17.566667,-92.35,92,Chiapas,Salto de Agua,30,Grijalva - Usumacinta,30.0,Chiapas
SAYCP,"Sayula, Chis.",17.425,-93.383333,228,Chiapas,OstuacÃ¡n,30,Bajo Grijalva,30.0,Chiapas
SCRCP,"Puente Morelos, Chis.",16.741667,-92.616667,2113,Chiapas,San CristÃ³bal de las Casas,30,Alto Grijalva,30.0,Chiapas
SDICP,"San Diego, Chis.",15.7425,-93.3,840,Chiapas,Pijijiapan,23,Costa de Chiapas,23.0,Chiapas
SDOCP,"Santo Domingo, Chis.",16.4525,-93.056389,500,Chiapas,Chiapa de Corzo,30,Alto Grijalva,30.0,Chiapas
SMICP,"San Miguel, Chis.",15.775,-92.239444,710,Chiapas,Frontera Comalapa,30,Alto Grijalva,30.0,Chiapas
SUCCP,"Suchiate, Chis.",14.683333,-92.133333,18,Chiapas,Suchiate,23,Costa de Chiapas,23.0,Chiapas
TALCP,"TalismÃ¡n, Chis.",14.966667,-92.147222,148,Chiapas,Tuxtla Chico,23,Costa de Chiapas,23.0,Chiapas
TAMCP,"Malpaso II, Chis.",14.99,-92.243333,18,Chiapas,Tapachula,23,Costa de Chiapas,23.0,Chiapas
TONCP,"TonalÃ¡, Chis.",16.086944,-93.75,55,Chiapas,TonalÃ¡,23,Costa de Chiapas,23.0,Chiapas
TPICP,"Tres Picos, Chis.",15.875,-93.529167,55,Chiapas,TonalÃ¡,23,Costa de Chiapas,23.0,Chiapas
YAMCP,"YamonhÃ³, Chis.",17.116667,-93.330556,325,Chiapas,TecpatÃ¡n,30,Alto Grijalva,30.0,Chiapas
BTPCH,"Batopilas, Chih.",27.033611,-107.723611,565,Chihuahua,Batopilas de Manuel GÃ³mez MorÃ­n,10,RÃ­o Fuerte,10.0,Chihuahua
CL2CH,"Colina hidromÃ©trica, Chih.",27.410278,-105.381667,1245,Chihuahua,San Francisco de Conchos,24,RÃ­o Conchos,24.0,Chihuahua
CNDCH,"ChÃ­nipas, Chih.",27.416667,-108.541667,490,Chihuahua,ChÃ­nipas,10,RÃ­o Fuerte,10.0,Chihuahua
GPCCH,"Guapoca, Chih.",29.2,-108.3,1260,Chihuahua,Madera,9,Yaqui - MatapÃ©,9.0,Chihuahua
