numero,clave,nombre,latitud,longitud,altitud,estado,municipio,id_cuenca_de_disponibilidad,cuenca_de_disponibilidad,num_region_hidrologica,region_hidrologica,fn_id_cuenca_de_disponibilidad,fn_num_region_hidrologica,estado_etq
1,C01001,Aguascalientes,21.850278,-102.290833,1891,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
2,C01030,Aguascalientes,21.895556,-102.308611,1889,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
3,C01097,Aguascalientes 2,21.905556,-102.265,1946,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
4,AGSAG,"Aguascalientes, Ags.",21.895,-102.309722,1865,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
5,C01062,Arellano,21.801944,-102.273056,1911,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
6,C01096,Calvillito,21.835278,-102.1825,1970,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
7,CLVAG,"Calvillo, Ags.",21.826667,-102.189167,1950,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
8,C01004,CaÃ±ada Honda,22.000833,-102.198889,1925,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
9,CHOAG,"CaÃ±ada Honda, Ags.",22.007222,-102.197222,1925,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
10,C01074,Cieneguilla,21.731111,-102.452778,1839,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
11,C01043,E.T.A. 127 Aguascalientes,21.883333,-102.3,1855,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
12,CDZAG,"El Cedazo, Ags.",21.866667,-102.2625,0,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
13,NGRAG,"El NiÃ¡gara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
14,C01077,El Ocote,21.782778,-102.5175,2045,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
15,C01016,GanaderÃ­a PeÃ±uelas,21.710556,-102.282222,1850,Aguascalientes,Aguascalientes,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
16,C01076,Los Negritos,21.870556,-102.349167,1887,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
17,LNGAG,"Los Negritos, Ags.",21.870278,-102.349167,1845,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
18,C01075,Montoro,21.757222,-102.302222,1871,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
19,OBSAG,"Observatorio de Aguascalientes, Ags.",21.850833,-102.290556,1874,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
20,C01063,PeÃ±uelas,21.725,-102.275,1870,Aguascalientes,Aguascalientes,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
21,C01079,PeÃ±uelas,21.725833,-102.272222,1900,Aguascalientes,Aguascalientes,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
22,C01005,Presa El NiÃ¡gara,21.780556,-102.371667,1844,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
23,C01022,San Bartolo,21.748056,-102.170278,1998,Aguascalientes,Aguascalientes,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
24,BRTAG,"San Bartolo, Ags.",21.738611,-102.184167,1965,Aguascalientes,Aguascalientes,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
25,C01024,San Isidro,21.778611,-102.103889,2004,Aguascalientes,Aguascalientes,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
26,C01036,Santa Rosa,21.816667,-102.3,1860,Aguascalientes,Aguascalientes,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
27,C01029,Asientos,22.239722,-102.088889,2163,Aguascalientes,Asientos,755,Presa San Pablo y otras,37,El Salado,755.0,37.0,Aguascalientes
28,C01006,El Tule,22.081667,-102.091389,1960,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
29,C01045,El Tule,22.083056,-102.091111,1982,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
30,C01032,Las Fraguas,22.039167,-101.8925,2086,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
31,C01081,Rancho Seco,22.088333,-101.967222,2067,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
32,C01084,San Gil,22.208333,-102.022222,2032,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
33,C01085,Tepetatillo,22.091111,-102.181389,2040,Aguascalientes,Asientos,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
34,C01028,Villa JuÃ¡rez,22.100833,-102.067778,1999,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
35,VJZAG,"Villa JuÃ¡rez, Ags.",22.097778,-102.0675,1970,Aguascalientes,Asientos,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
36,C01047,Agua Zarca,21.974167,-102.584444,2417,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
37,C01003,Calvillo,21.883333,-102.718889,1640,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
38,C01023,Calvillo,21.836667,-102.711667,1685,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
39,C01078,El Ocote,21.890278,-102.8325,2329,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
40,CDRAG,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
41,C01009,La Labor,21.962222,-102.694722,1740,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
42,C01046,La Labor,21.964444,-102.697222,1785,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
43,C01091,Los Alisos,21.742222,-102.716944,2216,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
44,C01011,Malpaso,21.86,-102.663889,1730,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
45,MALAG,"Malpaso, Ags.",21.858056,-102.653333,0,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
46,MNLAG,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
47,C01020,Presa La Codorniz,21.996667,-102.674167,1850,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
48,C01012,Presa Media Luna,21.794444,-102.801667,1589,Aguascalientes,Calvillo,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
49,C01088,CosiÃ³,22.362778,-102.296944,2023,Aguascalientes,CosÃ­o,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
50,CSOAG,"CosÃ­o, Ags.",22.362778,-102.296667,1885,Aguascalientes,CosÃ­o,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
51,C01031,El Novillo,22.018889,-101.999167,2043,Aguascalientes,El Llano,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
