numero,clave,nombre,latitud,longitud,altitud,estado,municipio,id_cuenca_de_disponibilidad,cuenca_de_disponibilidad,num_region_hidrologica,region_hidrologica,fn_id_cuenca_de_disponibilidad,fn_num_region_hidrologica,estado_etq
1,C01001,Aguascalientes,21.850278,-102.290833,1891,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
2,C01030,Aguascalientes,21.895556,-102.308611,1889,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
3,C01097,Aguascalientes 2,21.905556,-102.265,1946,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
4,AGSAG,"Aguascalientes, Ags.",21.895,-102.309722,1865,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
5,C01062,Arellano,21.801944,-102.273056,1911,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
6,C01096,Calvillito,21.835278,-102.1825,1970,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
7,CLVAG,"Calvillo, Ags.",21.826667,-102.189167,1950,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
8,C01004,Cañada Honda,22.000833,-102.198889,1925,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
9,CHOAG,"Cañada Honda, Ags.",22.007222,-102.197222,1925,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
10,C01074,Cieneguilla,21.731111,-102.452778,1839,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
11,C01043,E.T.A. 127 Aguascalientes,21.883333,-102.3,1855,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
12,CDZAG,"El Cedazo, Ags.",21.866667,-102.2625,0,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
13,NGRAG,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
14,C01077,El Ocote,21.782778,-102.5175,2045,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
15,C01016,Ganadería Peñuelas,21.710556,-102.282222,1850,Aguascalientes,Aguascalientes,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
16,C01076,Los Negritos,21.870556,-102.349167,1887,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
17,LNGAG,"Los Negritos, Ags.",21.870278,-102.349167,1845,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
